0,Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects,"C de Chaisemartin, X D’Haultfœuille",2020,2287,American Economic Review
1,"The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment","D Acemoglu, P Restrepo",2018,2163,American Economic Review
2,Railroads of the Raj: Estimating the Impact of Transportation Infrastructure,D Donaldson,2018,2052,American Economic Review
3,"Bartik Instruments: What, When, Why, and How","P Goldsmith-Pinkham, I Sorkin, H Swift",2020,1482,American Economic Review
4,Monetary Policy According to HANK,"G Kaplan, B Moll, GL Violante",2018,1468,American Economic Review
5,Macroeconomic Implications of COVID-19: Can Negative Supply Shocks Cause Demand Shortages?,"V Guerrieri, G Lorenzoni, L Straub, I Werning",2022,1375,American Economic Review
6,Measuring Geopolitical Risk,"D Caldara, M Iacoviello",2022,1282,American Economic Review
7,Are Ideas Getting Harder to Find?,"N Bloom, CI Jones, J Van Reenen, M Webb",2020,1034,American Economic Review
8,Public Debt and Low Interest Rates,O Blanchard,2019,1027,American Economic Review
9,Monetary Policy and the Redistribution Channel,A Auclert,2019,1001,American Economic Review
10,"Innovation, Reallocation, and Growth","D Acemoglu, U Akcigit, H Alp, N Bloom, W Kerr",2018,969,American Economic Review
11,Intergenerational Mobility and Preferences for Redistribution,"A Alesina, S Stantcheva, E Teso",2018,805,American Economic Review
12,"The Effects of Pre-Trial Detention on Conviction, Future Crime, and Employment: Evidence from Randomly Assigned Judges","W Dobbie, J Goldin, CS Yang",2018,744,American Economic Review
13,Vulnerable Growth,"T Adrian, N Boyarchenko, D Giannone",2019,706,American Economic Review
14,The Welfare Effects of Social Media,"H Allcott, L Braghieri, S Eichmeyer, M Gentzkow",2020,673,American Economic Review
15,Tax Evasion and Inequality,"A Alstadsæter, N Johannesen, G Zucman",2019,654,American Economic Review
16,Does Diversity Matter for Health? Experimental Evidence from Oakland,"M Alsan, O Garrick, G Graziani",2019,639,American Economic Review
17,Climate Change: The Ultimate Challenge for Economics,W Nordhaus,2019,589,American Economic Review
18,Do Recessions Accelerate Routine-Biased Technological Change? Evidence from Vacancy Postings,"B Hershbein, LB Kahn",2018,588,American Economic Review
19,Structural Interpretation of Vector Autoregressions with Incomplete Identification: Revisiting the Role of Oil Supply and Demand Shocks,"C Baumeister, JD Hamilton",2019,586,American Economic Review
0,Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects,"C de Chaisemartin, X D’Haultfœuille",2020,2287,American Economic Review
1,"The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment","D Acemoglu, P Restrepo",2018,2163,American Economic Review
2,Railroads of the Raj: Estimating the Impact of Transportation Infrastructure,D Donaldson,2018,2052,American Economic Review
3,"Bartik Instruments: What, When, Why, and How","P Goldsmith-Pinkham, I Sorkin, H Swift",2020,1482,American Economic Review
4,Monetary Policy According to HANK,"G Kaplan, B Moll, GL Violante",2018,1468,American Economic Review
5,Macroeconomic Implications of COVID-19: Can Negative Supply Shocks Cause Demand Shortages?,"V Guerrieri, G Lorenzoni, L Straub, I Werning",2022,1375,American Economic Review
6,Measuring Geopolitical Risk,"D Caldara, M Iacoviello",2022,1282,American Economic Review
7,Are Ideas Getting Harder to Find?,"N Bloom, CI Jones, J Van Reenen, M Webb",2020,1034,American Economic Review
8,Public Debt and Low Interest Rates,O Blanchard,2019,1027,American Economic Review
9,Monetary Policy and the Redistribution Channel,A Auclert,2019,1001,American Economic Review
10,"Innovation, Reallocation, and Growth","D Acemoglu, U Akcigit, H Alp, N Bloom, W Kerr",2018,969,American Economic Review
11,Intergenerational Mobility and Preferences for Redistribution,"A Alesina, S Stantcheva, E Teso",2018,805,American Economic Review
12,"The Effects of Pre-Trial Detention on Conviction, Future Crime, and Employment: Evidence from Randomly Assigned Judges","W Dobbie, J Goldin, CS Yang",2018,744,American Economic Review
13,Vulnerable Growth,"T Adrian, N Boyarchenko, D Giannone",2019,706,American Economic Review
14,The Welfare Effects of Social Media,"H Allcott, L Braghieri, S Eichmeyer, M Gentzkow",2020,673,American Economic Review
15,Tax Evasion and Inequality,"A Alstadsæter, N Johannesen, G Zucman",2019,654,American Economic Review
16,Does Diversity Matter for Health? Experimental Evidence from Oakland,"M Alsan, O Garrick, G Graziani",2019,639,American Economic Review
17,Climate Change: The Ultimate Challenge for Economics,W Nordhaus,2019,589,American Economic Review
18,Do Recessions Accelerate Routine-Biased Technological Change? Evidence from Vacancy Postings,"B Hershbein, LB Kahn",2018,588,American Economic Review
19,Structural Interpretation of Vector Autoregressions with Incomplete Identification: Revisiting the Role of Oil Supply and Demand Shocks,"C Baumeister, JD Hamilton",2019,586,American Economic Review
0,Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects,"C de Chaisemartin, X D’Haultfœuille",2020,2287,American Economic Review
1,"The Race between Man and Machine: Implications of Technology for Growth, Factor Shares, and Employment","D Acemoglu, P Restrepo",2018,2163,American Economic Review
2,Railroads of the Raj: Estimating the Impact of Transportation Infrastructure,D Donaldson,2018,2052,American Economic Review
3,"Bartik Instruments: What, When, Why, and How","P Goldsmith-Pinkham, I Sorkin, H Swift",2020,1482,American Economic Review
4,Monetary Policy According to HANK,"G Kaplan, B Moll, GL Violante",2018,1468,American Economic Review
5,Macroeconomic Implications of COVID-19: Can Negative Supply Shocks Cause Demand Shortages?,"V Guerrieri, G Lorenzoni, L Straub, I Werning",2022,1375,American Economic Review
6,Measuring Geopolitical Risk,"D Caldara, M Iacoviello",2022,1282,American Economic Review
7,Are Ideas Getting Harder to Find?,"N Bloom, CI Jones, J Van Reenen, M Webb",2020,1034,American Economic Review
8,Public Debt and Low Interest Rates,O Blanchard,2019,1027,American Economic Review
9,Monetary Policy and the Redistribution Channel,A Auclert,2019,1001,American Economic Review
10,"Innovation, Reallocation, and Growth","D Acemoglu, U Akcigit, H Alp, N Bloom, W Kerr",2018,969,American Economic Review
11,Intergenerational Mobility and Preferences for Redistribution,"A Alesina, S Stantcheva, E Teso",2018,805,American Economic Review
12,"The Effects of Pre-Trial Detention on Conviction, Future Crime, and Employment: Evidence from Randomly Assigned Judges","W Dobbie, J Goldin, CS Yang",2018,744,American Economic Review
13,Vulnerable Growth,"T Adrian, N Boyarchenko, D Giannone",2019,706,American Economic Review
14,The Welfare Effects of Social Media,"H Allcott, L Braghieri, S Eichmeyer, M Gentzkow",2020,673,American Economic Review
15,Tax Evasion and Inequality,"A Alstadsæter, N Johannesen, G Zucman",2019,654,American Economic Review
16,Does Diversity Matter for Health? Experimental Evidence from Oakland,"M Alsan, O Garrick, G Graziani",2019,639,American Economic Review
17,Climate Change: The Ultimate Challenge for Economics,W Nordhaus,2019,589,American Economic Review
18,Do Recessions Accelerate Routine-Biased Technological Change? Evidence from Vacancy Postings,"B Hershbein, LB Kahn",2018,588,American Economic Review
19,Structural Interpretation of Vector Autoregressions with Incomplete Identification: Revisiting the Role of Oil Supply and Demand Shocks,"C Baumeister, JD Hamilton",2019,586,American Economic Review
