0,Do Antitakeover Provisions Spur Corporate Innovation? A Regression Discontinuity Analysis,"TJ Chemmanur, X Tian",2018,359,Journal of Financial and Quantitative Analysis
1,Risk and Return in High-Frequency Trading,"M Baron, J Brogaard, B Hagströmer, A Kirilenko",2019,242,Journal of Financial and Quantitative Analysis
2,Why Has the Value of Cash Increased Over Time?,"TW Bates, CH Chang, JD Chi",2018,187,Journal of Financial and Quantitative Analysis
3,Innovation Strategy of Private Firms,"H Gao, PH Hsu, K Li",2018,173,Journal of Financial and Quantitative Analysis
4,"Operating Leverage, Profitability, and Capital Structure","Z Chen, J Harford, A Kamara",2019,170,Journal of Financial and Quantitative Analysis
5,The Effect of Cultural Similarity on Mergers and Acquisitions: Evidence from Corporate Social Responsibility,"F Bereskin, SK Byun, MS Officer, JM Oh",2018,169,Journal of Financial and Quantitative Analysis
6,Board Gender Diversity and Corporate Innovation: International Evidence,"D Griffin, K Li, T Xu",2021,168,Journal of Financial and Quantitative Analysis
7,Overnight Returns and Firm-Specific Investor Sentiment,"D Aboody, O Even-Tov, R Lehavy, B Trueman",2018,163,Journal of Financial and Quantitative Analysis
8,Corporate Resilience to Banking Crises: The Roles of Trust and Trade Credit,"R Levine, C Lin, W Xie",2018,160,Journal of Financial and Quantitative Analysis
9,Crash Sensitivity and the Cross Section of Expected Stock Returns,"F Chabi-Yo, S Ruenzi, F Weigert",2018,160,Journal of Financial and Quantitative Analysis
10,High-Frequency Quoting: Short-Term Volatility in Bids and Offers,J Hasbrouck,2018,155,Journal of Financial and Quantitative Analysis
11,Organization Capital and Mergers and Acquisitions,"K Li, B Qiu, R Shen",2018,151,Journal of Financial and Quantitative Analysis
12,Price Drift Before US Macroeconomic News: Private Information about Public Announcements?,"A Kurov, A Sancetta, G Strasser, MH Wolfe",2019,146,Journal of Financial and Quantitative Analysis
13,Climate Change News Risk and Corporate Bond Returns,"TD Huynh, Y Xia",2021,146,Journal of Financial and Quantitative Analysis
14,Bank Lending and the European Sovereign Debt Crisis,F De Marco,2019,143,Journal of Financial and Quantitative Analysis
15,Managerial Risk-Taking Incentive and Firm Innovation: Evidence from FAS 123R,"CX Mao, C Zhang",2018,142,Journal of Financial and Quantitative Analysis
16,Googling Investor Sentiment around the World,"Z Gao, H Ren, B Zhang",2020,141,Journal of Financial and Quantitative Analysis
17,Deal Initiation in Mergers and Acquisitions,"RW Masulis, SA Simsir",2018,136,Journal of Financial and Quantitative Analysis
18,The Role of Corporate Culture in Bad Times: Evidence from the COVID-19 Pandemic,"K Li, X Liu, F Mai, T Zhang",2021,133,Journal of Financial and Quantitative Analysis
19,"Good Volatility, Bad Volatility, and the Cross Section of Stock Returns","T Bollerslev, SZ Li, B Zhao",2020,131,Journal of Financial and Quantitative Analysis
