0,What Works? A Meta Analysis of Recent Active Labor Market Program Evaluations,"D Card, J Kluve, A Weber",2018,1196,Journal of the European Economic Association
1,Fanning the Flames of Hate: Social Media and Hate Crime,"K Müller, C Schwarz",2021,567,Journal of the European Economic Association
2,Gender Bias in Teaching Evaluations,"F Mengel, J Sauermann, U Zölitz",2019,466,Journal of the European Economic Association
3,When Credit Dries Up: Job Losses in the Great Recession,"S Bentolila, M Jansen, G Jiménez",2018,306,Journal of the European Economic Association
4,The Adjustment of Labor Markets to Robots,"W Dauth, S Findeisen, J Suedekum, N Woessner",2021,261,Journal of the European Economic Association
5,How Much Can We Generalize From Impact Evaluations?,E Vivalt,2020,236,Journal of the European Economic Association
6,"Debt Overhang, Rollover Risk, and Corporate Investment: Evidence from the European Crisis","Ş Kalemli-Özcan, L Laeven, D Moreno",2022,235,Journal of the European Economic Association
7,As the Wind Blows: The Effects of Long-Term Exposure to Air Pollution on Mortality,ML Anderson,2020,215,Journal of the European Economic Association
8,Moral Hazard in Health Insurance: What We Know and How We Know It,"L Einav, A Finkelstein",2018,187,Journal of the European Economic Association
9,Financial Literacy and Savings Account Returns,"F Deuflhard, D Georgarakos, R Inderst",2019,173,Journal of the European Economic Association
10,Price Setting in Online Markets: Does IT Click?,"Y Gorodnichenko, V Sheremirov, O Talavera",2018,172,Journal of the European Economic Association
11,Unemployment (Fears) and Deflationary Spirals,"WJ Den Haan, P Rendahl, M Riegler",2018,153,Journal of the European Economic Association
12,Updating Beliefs when Evidence is Open to Interpretation: Implications for Bias and Polarization,"RG Fryer Jr, P Harms, MO Jackson",2019,152,Journal of the European Economic Association
13,The Long-Term Effect of Demographic Shocks on the Evolution of Gender Roles: Evidence from the transatlantic Slave Trade,E Teso,2019,151,Journal of the European Economic Association
14,Competition and the Welfare Gains from Transportation Infrastructure: Evidence from the Golden Quadrilateral of India,"J Asturias, M García-Santana, R Ramos",2019,150,Journal of the European Economic Association
15,Credit Supply During a Sovereign Debt Crisis,"M Bofondi, L Carpinelli, E Sette",2018,146,Journal of the European Economic Association
16,"Intrahousehold Bargaining, Female Autonomy, and Labor Supply: Theory and Evidence from India","R Heath, X Tan",2020,143,Journal of the European Economic Association
17,Learning The Hard Way: The Effect of Violent Conflict on Student Academic Achievement,"T Brück, M Di Maio, SH Miaari",2019,139,Journal of the European Economic Association
18,Parental Beliefs about Returns to Educational Investments—The Later the Better?,"T Boneva, C Rauh",2018,134,Journal of the European Economic Association
19,Place-Based Interventions at Scale: The Direct and Spillover Effects of Policing and City Services on Crime,"C Blattman, DP Green, D Ortega, S Tobón",2021,133,Journal of the European Economic Association
