0,The Rise of Market Power and the Macroeconomic Implications,"J De Loecker, J Eeckhout, G Unger",2020,1993,The Quarterly Journal of Economics
1,Global Evidence on Economic Preferences,"A Falk, A Becker, T Dohmen, B Enke, D Huffman, U Sunde",2018,1434,The Quarterly Journal of Economics
2,Exchange Arrangements Entering the Twenty-First Century: Which Anchor will Hold?,"E Ilzetzki, CM Reinhart, KS Rogoff",2019,1335,The Quarterly Journal of Economics
3,Distributional National Accounts: Methods and Estimates for the United States,"T Piketty, E Saez, G Zucman",2018,1278,The Quarterly Journal of Economics
4,The Impacts of Neighborhoods on Intergenerational Mobility I: Childhood Exposure Effects,"R Chetty, N Hendren",2018,1234,The Quarterly Journal of Economics
5,Human Decisions and Machine Predictions,"J Kleinberg, H Lakkaraju, J Leskovec, J Ludwig, S Mullainathan",2018,1207,The Quarterly Journal of Economics
6,Firming Up Inequality,"J Song, DJ Price, F Guvenen, N Bloom, T von Wachter",2019,1129,The Quarterly Journal of Economics
7,High-Frequency Identification of Monetary Non-Neutrality: The Information Effect,"E Nakamura, J Steinsson",2018,1111,The Quarterly Journal of Economics
8,Race and Economic Opportunity in the United States: an Intergenerational Perspective,"R Chetty, N Hendren, MR Jones, SR Porter",2020,1105,The Quarterly Journal of Economics
9,The Effect of Minimum Wages on Low-Wage Jobs,"D Cengiz, A Dube, A Lindner, B Zipperer",2019,995,The Quarterly Journal of Economics
10,The Impacts of Neighborhoods on Intergenerational Mobility II: County-Level Estimates,"R Chetty, N Hendren",2018,790,The Quarterly Journal of Economics
11,The Return to Protectionism,"PD Fajgelbaum, PK Goldberg, PJ Kennedy, AK Khandelwal",2020,757,The Quarterly Journal of Economics
12,Transparency and Deliberation Within the FOMC: A Computational Linguistics Approach,"S Hansen, M McMahon, A Prat",2018,634,The Quarterly Journal of Economics
13,Firm-Level Political Risk: Measurement and Effects,"TA Hassan, S Hollander, L van Lent, A Tahoun",2019,617,The Quarterly Journal of Economics
14,Channeling Fisher: Randomization Tests and the Statistical Insignificance of Seemingly Significant Experimental Results,A Young,2019,596,The Quarterly Journal of Economics
15,The Price Ain’t Right? Hospital Prices and Health Spending on the Privately Insured,"Z Cooper, SV Craig, M Gaynor, J Van Reenen",2019,590,The Quarterly Journal of Economics
16,"Ban the Box, Criminal Records, and Racial Discrimination: A Field Experiment","A Agan, S Starr",2018,583,The Quarterly Journal of Economics
17,Who Becomes an Inventor in America? The Importance of Exposure to Innovation,"A Bell, R Chetty, X Jaravel, N Petkova, J Van Reenen",2019,574,The Quarterly Journal of Economics
18,Productivity and Misallocation in General Equilibrium,"DR Baqaee, E Farhi",2020,547,The Quarterly Journal of Economics
19,"The Rate of Return on Everything, 1870–2015","Ò Jordà, K Knoll, D Kuvshinov, M Schularick, AM Taylor",2019,537,The Quarterly Journal of Economics
